                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2985,                0.60512,                0.99638,                0.86712,                0.63958,                0.72231,                0.41151,                 1.2041,                 0.5052,                0.98096,               0.003268,               0.003268,               0.003268
                     36,                 1.2947,                0.60256,                      1,                0.86752,                0.64099,                0.72377,                0.41386,                  1.196,                0.50078,                0.98514,                0.00307,                0.00307,                0.00307
                     37,                 1.2945,                0.60125,                0.99571,                0.87018,                0.64357,                0.72641,                0.41634,                 1.1907,                0.49794,                0.98115,               0.002872,               0.002872,               0.002872
                     38,                 1.2941,                0.59862,                0.99457,                0.86985,                0.64464,                 0.7274,                0.41692,                 1.1871,                0.49516,                0.97948,               0.002674,               0.002674,               0.002674
                     39,                 1.2838,                0.59292,                0.99251,                0.86946,                 0.6454,                0.72762,                0.41708,                  1.186,                0.49285,                0.97668,               0.002476,               0.002476,               0.002476
                     40,                 1.2787,                0.58664,                0.98869,                 0.8707,                0.64614,                0.72946,                0.41886,                 1.1799,                0.48945,                0.97382,               0.002278,               0.002278,               0.002278
                     41,                 1.2722,                0.58471,                0.98691,                0.87205,                0.64525,                 0.7293,                0.42025,                 1.1736,                0.48687,                0.97093,                0.00208,                0.00208,                0.00208
                     42,                 1.2663,                0.57554,                 0.9864,                0.87307,                0.64794,                0.73218,                0.42222,                 1.1684,                0.48434,                0.96883,               0.001882,               0.001882,               0.001882
                     43,                 1.2603,                0.57285,                0.98071,                0.87131,                0.65101,                 0.7337,                0.42368,                 1.1638,                0.48133,                0.96504,               0.001684,               0.001684,               0.001684
                     44,                 1.2578,                0.56937,                0.97949,                0.87097,                0.65183,                0.73439,                0.42434,                 1.1607,                0.47939,                0.96289,               0.001486,               0.001486,               0.001486
                     45,                 1.2503,                0.56539,                0.97845,                0.87122,                0.65169,                0.73424,                0.42408,                 1.1588,                0.47793,                0.96255,               0.001288,               0.001288,               0.001288
                     46,                 1.2476,                0.56291,                0.97576,                0.87101,                0.65283,                0.73555,                0.42644,                 1.1533,                0.47495,                0.96044,                0.00109,                0.00109,                0.00109
                     47,                 1.2385,                0.55465,                0.97695,                 0.8719,                0.65212,                0.73512,                0.42618,                 1.1495,                0.47291,                0.95891,               0.000892,               0.000892,               0.000892
                     48,                 1.2276,                  0.546,                0.97054,                0.87223,                0.65256,                0.73612,                0.42754,                 1.1461,                0.47059,                 0.9568,               0.000694,               0.000694,               0.000694
                     49,                  1.235,                0.55125,                0.96855,                0.87379,                0.65364,                0.73736,                0.42895,                 1.1429,                0.46931,                0.95531,               0.000496,               0.000496,               0.000496
