               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.05866,            0.037607,                   0,              0.8385,             0.55997,             0.63039,             0.32539,            0.051906,            0.030254,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.05878,            0.037792,                   0,             0.83645,             0.56135,             0.63122,             0.32568,            0.051835,            0.030251,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.058718,            0.037697,                   0,              0.8365,             0.56232,             0.63288,             0.32713,            0.051761,            0.030212,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.058885,            0.038193,                   0,             0.83604,             0.56366,             0.63357,             0.32649,            0.051721,            0.030202,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.058035,            0.037314,                   0,             0.83773,             0.56458,             0.63508,             0.32799,            0.051601,            0.030171,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.058248,            0.037436,                   0,             0.83775,             0.56417,             0.63486,             0.32805,            0.051581,            0.030151,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.057842,            0.037199,                   0,             0.83676,             0.56566,             0.63616,             0.32867,            0.051529,            0.030146,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.057856,            0.037495,                   0,             0.83899,             0.56562,             0.63653,             0.32929,            0.051467,            0.030128,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.057477,             0.03685,                   0,             0.83769,             0.56587,             0.63627,             0.32948,            0.051404,            0.030102,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.05762,            0.037219,                   0,             0.83836,             0.56645,             0.63716,             0.32957,            0.051379,            0.030086,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.057964,            0.037287,                   0,             0.83917,             0.56702,             0.63782,             0.33031,            0.051334,            0.030056,                   0,            0.000496,            0.000496,            0.000496
